Gemeentenaam,Gemeentecode,Gemeentenummer,Provincie,Provinciecode,Provincienummer,Veiligheidsregio,Veiligheidsregiocode,Veiligheidsregionummer,GGD_regio,GGD_regiocode,GGD_regionummer,Shape__Area,Shape__Length,Datum,Meldingen,Ziekenhuisopnamen,Overleden,Bevolkingsaantal,Meldingen_100000,Ziekenhuisopnamen_100000,Overleden_100000,ObjectId
Steenbergen,GM0851,851,Noord-Brabant,PV30,30,Midden- en West-Brabant,VR20,20,GGD West-Brabant,GG5206,5206,151237409.637049,55356.4522457823,1588550400000,77,13,11,24501,314.3,53.1,44.9,275
Steenwijkerland,GM1708,1708,Overijssel,PV23,23,IJsselland,VR04,4,GGD Ijsselland,GG1009,1009,321281276.065285,99516.5890524977,1588550400000,85,14,5,44139,192.6,31.7,11.3,276
Stein,GM0971,971,Limburg,PV31,31,Zuid-Limburg,VR24,24,GGD Zuid-Limburg,GG6106,6106,22823651.7142334,30220.7031864365,1588550400000,110,43,15,25000,440,172,60,277
Stichtse Vecht,GM1904,1904,Utrecht,PV26,26,Utrecht,VR09,9,GGD regio Utrecht,GG2514,2514,106890764.06522,82649.5856396085,1588550400000,96,31,9,64928,147.9,47.7,13.9,278
Súdwest-Fryslân,GM1900,1900,Friesland,PV21,21,Fryslân,VR02,2,GGD Fryslân,GG7206,7206,576711340.955566,203083.932433183,1588550400000,74,17,3,89987,82.2,18.9,3.3,279
Terneuzen,GM0715,715,Zeeland,PV29,29,Zeeland,VR19,19,GGD Zeeland,GG5006,5006,260823674.424031,103713.76162984,1588550400000,101,24,3,54438,185.5,44.1,5.5,280
Terschelling,GM0093,93,Friesland,PV21,21,Fryslân,VR02,2,GGD Fryslân,GG7206,7206,89273711.7092056,88822.7662269324,1588550400000,2,0,0,4889,40.9,0,0,281
Texel,GM0448,448,Noord-Holland,PV27,27,Noord-Holland-Noord,VR10,10,GGD Hollands-Noorden,GG2707,2707,166799382.951534,72859.7208130466,1588550400000,10,4,1,13573,73.7,29.5,7.4,282
Teylingen,GM1525,1525,Zuid-Holland,PV28,28,Hollands Midden,VR16,16,GGD Hollands-Midden,GG4506,4506,33479356.5793457,30355.0464873006,1588550400000,48,12,2,37426,128.3,32.1,5.3,283
Tholen,GM0716,716,Zeeland,PV29,29,Zeeland,VR19,19,GGD Zeeland,GG5006,5006,158362643.122112,83878.5334505034,1588550400000,134,38,14,25758,520.2,147.5,54.4,284
Tiel,GM0281,281,Gelderland,PV25,25,Gelderland-Zuid,VR08,8,GGD Gelderland-Zuid,GG2014,2014,35564572.7063675,31867.8324587516,1588550400000,102,41,17,42161,241.9,97.2,40.3,285
Tilburg,GM0855,855,Noord-Brabant,PV30,30,Midden- en West-Brabant,VR20,20,GGD Hart voor Brabant,GG5406,5406,118096531.861496,62287.7537720132,1588550400000,670,184,150,219800,304.8,83.7,68.2,286
Tubbergen,GM0183,183,Overijssel,PV23,23,Twente,VR05,5,GGD Twente,GG1106,1106,147475994.326241,64458.8576031587,1588550400000,77,11,4,21279,361.9,51.7,18.8,287
Twenterand,GM1700,1700,Overijssel,PV23,23,Twente,VR05,5,GGD Twente,GG1106,1106,108116511.073845,71356.7079870439,1588550400000,57,12,2,33743,168.9,35.6,5.9,288
Tynaarlo,GM1730,1730,Drenthe,PV22,22,Drenthe,VR03,3,GGD Drente,GG0706,706,147719556.230568,90930.1218085009,1588550400000,38,9,0,33879,112.2,26.6,0,289
Tytsjerksteradiel,GM0737,737,Friesland,PV21,21,Fryslân,VR02,2,GGD Fryslân,GG7206,7206,161459004.697609,79666.863320919,1588550400000,15,4,1,32046,46.8,12.5,3.1,290
